Title,Genre(s),Developer(s),Publisher(s)
Shenmue I & II,Action-adventure,Sega,Sega
Shenmue III,Action-adventure,Ys Net,Deep Silver
Sherlock Holmes: Chapter One,Adventure,Frogwares,Focus Home Interactive
Sherlock Holmes: Crimes & Punishments,Adventure,Frogwares,Focus Home Interactive
Sherlock Holmes: The Devil's Daughter,Adventure,Frogwares,Focus Home Interactive
Shift Happens,Platformpuzzle,Klonk Games,Klonk Games
Shiftlings,Platform,Rock Pocket Games,Rock Pocket Games
Shikabanegurai no Boukenmeshi,Tactical role-playing,Nippon Ichi Software,Nippon Ichi Software
Shikhondo: Soul Eater,Shoot 'em up,DeerFarm,Digerati Distribution
Shin Megami Tensei III: Nocturne HD Remaster,Role-playing,Atlus,Atlus
Shiness: The Lightning Kingdom,Action role-playing,Enigami,Focus Home Interactive
Shing!,Actionroguelike,Mass Creation,Mass Creation
Shinigami: Shibito Magire,Adventure,Experience,Experience
Shining Resonance Refrain,Role-playing,Sega,Sega
Shiny Ski Resort,Simulation,Kairosoft,Kairosoft
Shoppe Keep,"Action role-playing, Simulation",Arvydas Zemaitis,Excalibur
Shovel Knight,Actionplatform,Yacht Club Games,Yacht Club Games
Shovel Knight Dig,Actionplatform,Yacht Club GamesNitrome,Yacht Club Games
Shovel Knight: Pocket Dungeon,Adventurepuzzle,Yacht Club GamesVine,Yacht Club Games
Showa American Story,Action role-playing,Nekcom,2P Games
Shu,Platform,Coatsink Software,Coatsink Software
Siegecraft Commander,Strategytower defense,Blowfish Studios,Blowfish Studios
Sifu,Beat 'em up,Sloclap,Sloclap
Silence: The Whispered World 2,Point-and-click adventure,Daedalic Entertainment,Daedalic Entertainment
The Silver Case,Visual novel,Grasshopper ManufactureActive Gaming Media,NIS America
The Sims 4,Simulation,Maxis,Electronic Arts
Simulacra,Full motion video,Kaigan Games,Wales Interactive
Sine Mora EX,Shoot 'em up,Digital Reality,JP: Handy GamesWW: THQ Nordic
SingStar Celebration,"Music & rhythm, party",London Studio,Sony Interactive Entertainment
The Sinking City,Action-adventuresurvival horror,Frogwares,Bigben Interactive
Sinner: Sacrifice for Redemption,Role-playing,Dark Star,Another Indie
Siralim,"Turn-based, role-playing",Thylacine Studios,Thylacine Studios
Siralim 2,"Turn-based, role-playing",Thylacine Studios,Thylacine Studios
Siralim 3,"Turn-based, role-playing",Thylacine Studios,Thylacine Studios
Sisters Royale,Shoot 'em up,Alfa System,Chorus Worldwide
Skate City,Sports,Agens,Snowman
Skater XL,Sportssimulation,Easy Day Studios,Easy Day Studios
Skul: The Hero Slayer,Platform,SouthPaw Games,Neowiz
Skull & Bones,"Action, adventure",Ubisoft Singapore,Ubisoft
Skullgirls: 2nd Encore,Fighting,Lab Zero Games,Autumn Games
Skulls of the Shogun: Bone-A-Fide Edition,Turn-based strategy,17-Bit,17-Bit
Sky: Children of the Light,Adventureart game,Thatgamecompany,Thatgamecompany
Sky Force Anniversary,Shoot 'em up,Infinite Dreams,Infinite Dreams
Sky Force Reloaded,Shoot 'em up,Infinite Dreams,Infinite Dreams
Skylanders: Imaginators,Platform,Toys For Bob,Activision
Skylanders: SuperChargers,Platform,Vicarious Visions,Activision
Skylanders: Swap Force,Platform,Vicarious Visions,Activision
Skylanders: Trap Team,Platform,Beenox,Activision
SkyScrappers,"2D fighter, platform",Ground Shatter,Ground Shatter
SlabWell,Puzzle,Undercoders,JanduSoft
Slain: Back from Hell,Hack and slashplatform,Wolfbrew Games,Digerati
Slayaway Camp: Butcher's Cut,Horrorpuzzle,Blue Wizard Digital,Digerati
Slay the Spire,Roguelike deck-building,MegaCrit,Humble Bundle
Sleeping Dogs: Definitive Edition,Action-adventure,United Front Games,Square Enix
Slender: The Arrival,First-person survival horror,Blue Isle StudiosParsec Productions,Midnight City
Slime Rancher,Action-adventure,Monomi Park,Monomi Park
Slime-san: Super Slime Edition,Platform,Fabraz,Headup Games
Small Radios Big Televisions,Puzzle,Fire Face,Adult Swim Games
Smelter,Actionplatformreal-time strategy,X Plus,Dangen Entertainment
SmuggleCraft,Adventureracing,Happy Badger Studio,Happy Badger Studio
The Smurfs: Mission Vileaf,Action-adventure,OSome Studios,Microids
Snake Pass,Platform,Sumo Digital,Sumo Digital
Snakeybus,Snake,Stovetop Studios,Digerati
Sniper Ghost Warrior 3,Tactical Shooterstealth,CI Games,CI Games
Sniper Ghost Warrior Contracts,Tactical Shooterstealth,CI Games,CI Games
Sniper Ghost Warrior Contracts 2,Tactical Shooterstealth,CI Games,CI Games
Sniper Elite V2 Remastered,Tactical ShooterStealth,Rebellion Developments,Rebellion Developments
Sniper Elite III,Tactical ShooterStealth,Rebellion Developments,505 Games
Sniper Elite 4,Tactical ShooterStealth,Rebellion Developments,Rebellion Developments
SNK 40th Anniversary Collection,Arcade,SNK / Digital Eclipse,NIS America
Snooker 19,Sports,Lab42,Ripstone
Snooker Nation Championship,Sports,Cherry Pop Games,Cherry Pop Games
Snow Moto Racing Freedom,Racing,Zordix,Zordix
SnowRunner,Simulation,Saber Interactive,Focus Home Interactive
Sociable Soccer,Sports,Jon Hare,Combo-Breaker
The Sojourn,Adventurepuzzle,Shifting Tides,Iceberg Interactive
Solar Ash,Action-adventure,Heart Machine,Annapurna Interactive
"Soldam: Drop, Connect, Erase",Puzzle,City Connection,City Connection
Sol Cresta,Shoot 'em up,PlatinumGames,PlatinumGames
Söldner-X 2: Final Prototype,Shoot 'em up,SideQuest Studios,Eastasiasoft
Solitaire,Card & board,Sanuk Games,Bigben Interactive
The Solus Project,"Adventure, survival",Teotl Studios,Grip Games
So Many Me,Platformpuzzle,Extend Int,Origo Games
Soma,Survival horror,Frictional Games,Frictional Games
Someday You'll Return,Psychological horror,CBE Software,CBE Software
Songbird Symphony,Platform,Joysteak Studios,PQube
Songbringer,Action role-playing,Wizard Fu Games,Double Eleven
Song of the Deep,Metroidvania,Insomniac Games,Insomniac Games
Song of Horror,Survival horror,Raiser Games,Raiser Games
Sonic Colors: Ultimate,Platform,Blind Squirrel Games,Sega
Sonic Forces,Platform,Sonic Team,Sega
Sonic Mania,Platform,PagodaWest GamesHeadcannon,Sega
Sonic Mania Plus,Platform,PagodaWest GamesHeadcannon,Sega
Sorcer Striker,Shoot 'em up,Eighting,M2
Soul Axiom,"Adventure, puzzle",Wales Interactive,Wales Interactive
Soulcalibur VI,Fighting,Project Soul,Bandai Namco Entertainment
Soul Saga: Episode 1,Role-playing,Disastercake,Disastercake
Sound Shapes,"Music, platform",Queasy Games,Sony Computer Entertainment
South Park: The Fractured but Whole,Role-playing,Ubisoft San Francisco,Ubisoft
South Park: The Stick of Truth,Role-playing,Obsidian Entertainment,Ubisoft
Spacebase Startopia,Business simulation,Realmforge Studios,Kalypso Media
Space Crew,Real-time strategy,Runner Duck,Curve Digital
Space Hulk: Ascension,Turn-based strategy,Full ControlHR Games,Funbox Media
Space Hulk: Deathwing,First-person shooter,Streum On Studio,Focus Home Interactive
Space Hulk: Tactics,Turn-based strategy,Cyanide,Focus Home Interactive
Space Invaders Forever,Arcadeshoot 'em up,Taito,United Games Entertainment
Spacejacked,Actiontower defense,Rotten Mage,Rotten Mage
Spaceland,Turn-basedstrategy,Tortuga Team,Ellada Games
Sparkle Unleashed,Actionpuzzle,10tons,10tons
Sparkle 2,Actionpuzzle,10tons,10tons
Sparklite,Role-playing,Red Blue Games,Merge Games
Speed Limit,Arcade,Gamechuck,Chorus Worldwide
SpeedRunners,"Platform, racing",tinyBuild,DoubleDutch Games
SpellForce 3 Reforced,Real-time strategyrole-playing,Grimlore Games,THQ Nordic
Spelunky,Platformroguelike,Mossmouth,Mossmouth
Spelunky 2,Platformroguelike,MossmouthBlitWorks,Mossmouth
Marvel's Spider-Man,Action-adventure,Insomniac Games,Sony Interactive Entertainment
Spider-Man: Miles Morales,Action-adventure,Insomniac Games,Sony Interactive Entertainment
Spider: Rite of the Shrouded Moon,Puzzle,Tiger Style,Tiger Style
Spider Solitaire F,Card game,Fly High Works,Fly High Works
Spirit: Lucky's Big Adventure,Adventure,Outright Games,Outright Games
Spiritfarer,Adventure,Thunder Lotus Games,Thunder Lotus Games
Spintires: MudRunner,Simulation,Saber Interactive,Focus Home Interactive
Spirit Hunter: Death Mark,Visual novelhorror,Experience,Aksys Games
Spirit Hunter: NG,Visual novelhorror,Experience,Aksys Games
Spirit of the North,Adventure,Infuse Studio,Infuse Studio
Splasher,Actionplatform,Splashteam,Splashteam
SpongeBob SquarePants: Battle for Bikini Bottom – Rehydrated,Action-adventureplatform,Purple Lamp Studios,THQ Nordic
SpongeBob SquarePants: The Cosmic Shake,Action-adventureplatform,Purple Lamp Studios,THQ Nordic
Spooky's Jump Scare Mansion: HD Renovation,Horror,Albino Moose Games,Albino Moose Games
Sportsfriends,"Action, sports",Die Gute Fabrik,Die Gute Fabrik
Spy Chameleon,Puzzle,Unfinished Pixel,Unfinished Pixel
Spyro Reignited Trilogy,Platform,Toys For Bob,Activision
Squadron 51,Shoot 'em up,Loomiarts,Assemble Entertainment
Square Heroes,Shooter,Gnomic Studios,Gnomic Studios
The Stanley Parable: Ultra Deluxe,Interactive story,Galactic CafeCrows Crows Crows,Galactic Cafe
Stardew Valley,Role-playing,ConcernedApe,Chucklefish
Stardust Galaxy Warriors: Stellar Climax,Shoot 'em up,Dreamloop Games,Dreamloop Games
Star Hammer: The Vanguard Prophecy,Turn-based strategy,Black Lab Games,Slitherine
Starlink: Battle for Atlas,Space combat,Ubisoft Toronto,Ubisoft
Star Melody: Yumemi Dreamer,Rhythm,Kogado Studio,Kogado Studio
Star Ocean: First Departure R,Action role-playing,Tri-Ace,Square Enix
Star Ocean: Integrity and Faithlessness,Action role-playing,Tri-Ace,Square Enix
Star Ocean: The Last Hope,Action role-playing,Tri-Ace,Square Enix
Star Ocean: Second Evolution,Action role-playing,Tri-Ace,Square Enix
Star Renegades,Role-playing,"Massive Damage, Inc.",JP: DMM GamesWW: Raw Fury
Starstruck: Hands of Time,Adventurerole-playingrhythm,Createdelic,Createdelic
Star Trek: Bridge Crew,Adventure,Red Storm Entertainment,Ubisoft
Star Wars Battlefront,First- and third-person shooter,EA Dice,Electronic ArtsLucasArts
Star Wars Battlefront II,First- and third-person shooter,DICE / Motive Studios,Electronic ArtsLucasArts
Star Wars Episode I: Racer,Racing,Raven Software,Aspyr Media
Star Wars Jedi: Fallen Order,Action-adventure,Respawn Entertainment,Electronic Arts
Star Wars Jedi Knight: Jedi Academy,First- and third-person shooter,Raven Software,Apsyr Media
Star Wars Jedi Knight II: Jedi Outcast,First- and third-person shooter,Raven Software,Apsyr Media
Star Wars: Republic Commando,First-person shooter,LucasArts,Aspyr
Star Wars: Squadrons,Space combat,Motive Studios,Electronic Arts
Starwhal: Just the Tip,Fighting,Breakfall,Breakfall
Stray,Adventure,Blue Twelve Studio,Annapurna Interactive
State of Mind,Adventure,Daedalic Entertainment,Daedalic Entertainment
Stay,Adventurestrategy,Appnormals Team,PQube
"Stay Cool, Kobayashi-san!: A River City Ransom Story",Adventure,Arc System Works,Arc System Works
Stealth Inc: A Clone in the Dark,Platformstealth,Curve Studios,Curve Digital
Stealth Inc 2: A Game of Clones,Platformstealth,Curve Studios,Curve Digital
Steampunk Tower 2,Tower defense,DreamGate,Drageus Games
Steam Tactics,Strategyrole-playing,Sometimes You,Sometimes You
SteamWorld Dig,Platform,Image & Form,Image & Form
SteamWorld Dig 2,Platform,Image & Form,Image & Form
SteamWorld Heist,"Adventure, platform",Image & Form,Image & Form
Steep,Sports,Ubisoft Annecy,Ubisoft
Steins;Gate 0,Visual novel,5pb.,5pb.
Steins;Gate Elite,Visual novel,5pb.,5pb.
Steins;Gate: My Darling's Embrace,Visual novel,5pb.,Spike Chunsoft
Stellaris,4Xreal-time strategy,Tantalus Media,Paradox Interactive
Stellatum,Shoot 'em up,Satur Entertainment,Sometimes You
Steredenn,Shooter,Pixelnest Studio,Plug In Digital
Steven Universe: Save the Light,Role-playing,Grumpyface Studios,Cartoon Network
Stick It to the Man!,Platform,Zoink Games,Ripstone Games
Stifled,"Adventure, horror",Gattai Games,Gattai Games
Stikbold! A Dodgeball Adventure,Fightingsports,Game Swing,Reign Bros
Storm Boy,Adventurerole-playing,Blowfish Studios,Level 77
Stories: The Path of Destinies,Action role-playing,Spearhead Games,Spearhead Games
Stories Untold,Adventurehorror,No Code,Devolver Digital
Strafe,First-person shooter,Pixel Titans,Devolver Digital
Straimium Immortaly,Shoot 'em uproguelike,Anthony CaseCaiysware,Digerati
Stranded Deep,Survival,Beam Team Games,Beam Team Games
Stranded Sails: Explorers of the Cursed Islands,Role-playing,Lemonbomb Games,Merge GamesRokapublish
Strange Brigade,Action-adventure,Rebellion,505 Games
Stranger of Paradise: Final Fantasy Origin,Action role-playing,Team Ninja,Square Enix
Stranger Things 3: The Game,Action-adventure,Bonus XP,Bonus XP
Stray,Adventure,BlueTwelve,Annapurna Interactive
Street Fighter 30th Anniversary Collection,Fighting,Capcom,Capcom
Street Fighter V,Fighting,CapcomDimps,Capcom
Street Fighter V: Arcade Edition,Fighting,CapcomDimps,Capcom
Streets of Rage 4,Beat 'em up,LizardcubeGuard Crush GamesSega,DotEmu
Streets of Rogue,Role-playing,Matt Dabrowski,tinyBuild
Strider,Action-adventurePlatform,Double Helix Games,Capcom
Strike Suit Zero,Space combat,Born Ready Games,Born Ready Games
Strike Vector EX,Mech-combatshooter,Ragequit Corporation,Ragequit Corporation
Stubbs the Zombie in Rebel Without a Pulse,Action,Wideload Games,Aspyr
Styx: Master of Shadows,Stealth,Cyanide,Focus Home Interactive
Styx: Shards of Darkness,Stealth,Cyanide,Focus Home Interactive
Sublevel Zero Redux,Shooter,Sigtrap Games,Merge Games
Submerged,Adventure,Uppercut Games,Uppercut Games
Subnautica,Action-adventuresurvival,Unknown Worlds Entertainment,Unknown Worlds Entertainment
Subnautica: Below Zero,Action-adventuresurvival,Unknown Worlds Entertainment,Unknown Worlds Entertainment
Subterrain,Actionsurvival,Pixellore,Pixellore
Sudden Strike 4,Real-time strategy,Kite Games,Kalypso Media
The Suicide of Rachel Foster,Adventure,One-O-One Games,Daedalic Entertainment
Summer in Mara,Adventure,Chibig Studio,Chibig Studio
Summon Night 6,Simulation role-playing,Media.VisionFelistella,Bandai Namco Entertainment
The Sun and Moon,Puzzle,Daniel Linssen,Digerati
Sundered,Metroidvania,Thunder Lotus Games,Thunder Lotus Games
Sunless Sea: Zubmariner Edition,Roguelike,Failbetter Games,Failbetter Games
Sunless Skies: Sovereign Edition,Role-playing,Failbetter Games,Digerati
Sunshine Manor,Horrorrole-playing,Fossil Games,Fossil Games
Superbeat: Xonic,"Music, rhythm",PM Studios,Rising Star Games
Super Blood Hockey,Sports,Loren Lemke,Digerati
Super Bomberman R,Actionpuzzle,Konami,Konami
Super Buckyball Tournament,Sports,Pathea Games,Pathea Games
Super Cane Magic Zero,Role-playing,Studio Evil,Studio Evil
Super Cloudbuilt,Platform,Coilworks,Double Eleven
Super Dodgeball Beats,Musicrhythmsports,FinalBoss Games,PlayStack
Super Dungeon Bros,Action,React! Games,Wired Productions
SuperEpic: The Entertainment War,Action-adventuremetroidvania,Undercoders,Numskull Games
Super Exploding Zoo,Puzzle,Honeyslug,Honeyslug
Superhot,First-person shooter,Superhot Team,Superhot Team
Superhot: Mind Control Delete,First-person shooter,Superhot Team,Superhot Team
Super Hydorah,Shoot 'em up,Abylight Studios,Abylight Studios
Superliminal,Puzzle,Pillow Castle,Pillow Castle
Supermarket Shriek,Kart racing,Billy Goat Entertainment,PQube
Super Meat Boy,Platform,Team Meat,Team Meat
Super Meat Boy Forever,Platform,Team Meat,Team Meat
Super Mega Baseball,Sports,Metalhead Software,Metalhead Software
Super Mega Baseball 2,Sports,Metalhead Software,Metalhead Software
Super Mega Baseball 3,Sports,Metalhead Software,Metalhead Software
Super Monkey Ball: Banana Blitz,Platform,Sega,Sega
Super Monkey Ball: Banana Mania,Platform,Ryu Ga Gotoku Studio,Sega
Super Motherload,"Puzzle, role-playing",XGen Studios,XGen Studios
Super Mutant Alien Assault,Platform,Cybernate,Surprise Attack Games
Super Neptunia RPG,Role-playing,Artisan Studios,Idea Factory
Super Pixel Racers,Racing,21c Ducks,"H2 Interactive, PQube"
Super Robot Wars 30,Tactical role-playing,B.B. Studio,Bandai Namco
Super Robot Wars OG: The Moon Dwellers,Tactical role-playing,Bandai Namco,Bandai Namco
Super Robot Wars T,Tactical role-playing,B.B. Studio,Bandai Namco
Super Robot Wars V,Tactical role-playing,B.B. Studio,Bandai Namco
Super Robot Wars X,Tactical role-playing,B.B. Studio,Bandai Namco
Super Rude Bear Resurrection,Platform,Alex Rose,Alex Rose Games
Super Stardust Ultra,Shoot 'em up,Housemarque,Sony Computer Entertainment
Super Star Wars,Action,Code Mystics,Disney Interactive
Super Time Force Ultra,"Shooter, side-scroller",Capybara Games,Capybara Games
Super Toy Cars,Racing,Eclipse Games,Eclipse Games
Supraland,Actionpuzzle,Supra Games,Humble Games
The Surge,Action role-playing,Deck13,Focus Home Interactive
The Surge 2,Action role-playing,Deck 13,Focus Home Interactive
Surgeon Simulator,Simulation,Bossa Studios,Bossa Studios
The Survivalists,Strategysurvival,Team17,Team17
Surviving Mars,Simulationcity-building,Haemimont Games,Paradox Interactive
Surviving the Aftermath,Simulationcity-building,Iceflake Studios,Paradox Interactive
The Sushi Spinnery,Simulation,Kairosoft,Kairosoft
The Swapper,Platformpuzzle,Curve Studios,Facepalm Games
Swimsanity!,Shooter,Decoy Games,Decoy Games
The Swindle,"Platform, stealth",Size Five Games,Curve Digital
Switch Galaxy Ultra,Racing,Atomicom,Atomicom
Sword & Fairy 6,Role-playing,Softstar,EastAsiaSoft
Sword Art Online: Alicization Lycoris,Role-playing,Aquria,Bandai Namco
Sword Art Online: Fatal Bullet,Role-playingshooter,Dimps,Bandai Namco
Sword Art Online Re: Hollow Fragment Director's Cut,Role-playing,Aquria,Bandai Namco
Sword Art Online: Hollow Realization,Role-playing,Bandai Namco,Bandai Namco
Sword Art Online: Lost Song,Role-playing,Artdink,Bandai Namco
Sword Coast Legends,Role-playing,n-Space / Digital Extremes,Digital Extremes
Swords & Soldiers II: Shawarmageddon,Real-time strategy,Ronimo Games,Ronimo Games
The Swords of Ditto,Action role-playing,One Bit Beyond,Devolver Digital
Sword of the Necromancer,Roguelikerole-playing,Grimorio of Games,JanduSoft
Syberia 3,Adventure,Anuman,Microïds
Synthetik: Ultimate,Tactical shooter,Flow Fire,Flow Fire
Syrup and The Ultimate Sweet,Visual novel,Nom Nom Nami,Ratalaika Games
System Shock,Action role-playing,Night Dive Studios,Night Dive Studios
Table Top Racing: World Tour,Racing,Playrise Digital,Playrise Digital
Tachyon Project,Shooter,Eclipse Games,Eclipse Games
Taiko no Tatsujin: Drum Session!,Rhythm,Bandai Namco,Bandai Namco
The TakeOver,Beat 'em up,Pelikan13,Pelikan13
Tales from the Borderlands,Graphic adventure,Telltale Games,Telltale Games
Tales of Arise,Action role-playing,Bandai Namco Studios,Bandai Namco Entertainment
Tales of Berseria,Role-playing,Bandai Namco Entertainment,Bandai Namco Entertainment
Tales of the Neon Sea,Adventure,Zodiac Interactive,Zodiac Interactive
Tales of Vesperia: Definitive Edition,Role-playing,Bandai Namco Entertainment,Bandai Namco Entertainment
Tales of Zestiria,Role-playing,Bandai Namco Entertainment,Bandai Namco Entertainment
The Talos Principle,Puzzle,Croteam,Devolver Digital
Tamarin,Action-adventure,Chameleon Games,Chameleon Games
Tandem: A Tale of Shadows,Puzzleplatform,Monochrome,Hatinh Interactive
Tannenberg,First-person shooter,M2HBlackmill Games,M2HBlackmill Games
Tantei Bokumetsu,Adventure,Nippon Ichi Software,Nippon Ichi Software
Tasomachi: Behind the Twilight,Action-adventure,Orbital Express,Playism
Taxi Chaos,Racing,Team6 Game Studios,Lion Castle Entertainment
Tchia,Adventure,Awaceb,Awaceb
Team Sonic Racing,Racing,Sumo Digital,Sega
Tearaway Unfolded,Platform,Media Molecule,Sony Computer Entertainment
The Technomancer,Role-playing,Spiders,Focus Home Interactive
Teenage Mutant Ninja Turtles: Mutants in Manhattan,Fighting,PlatinumGames,Activision
Tekken 7,Fighting,Bandai Namco,Bandai Namco
Telling Lies,Adventure,Sam BarlowFurious Bee,Annapurna Interactive
Tembo the Badass Elephant,Platform,Game Freak,Sega
Tempest 4000,Shoot 'em up,Llamasoft,Atari
Tennis in the Face,Puzzle,10tons,10tons
Tennis World Tour,Sports,Breakpoint Studio,Bigben Interactive
Tennis World Tour 2,Sports,Big Ant Studios,Nacon
The Tenth Line,Role-playing,Sungazer Software,Sungazer Software
Terminator: Resistance,First-person shooter,Teyon,Reef Entertainment
Terraria,Action-adventure,505 Games,505 Games
TerraTech,Vehicular sandbox,Payload Studios,Payload Studios
Teslagrad,Platformpuzzle,Rain Games,Rain Games
Tesla Force,Shooter,10tons,10tons
Tesla vs Lovecraft,Twin-stick shooter,10tons,10tons
Tethered,Simulation,Secret Sorcery,Secret Sorcery
Tetraminos,Puzzle,Sanuk Games,Bigben Interactive
Tetris Effect,Puzzle,Enhance Games,Enhance Games
Tetris Ultimate,Puzzle,SoMa Play,Ubisoft
Tharsis,Turn-based strategy,Choice Provisions,Choice Provisions
That's You!,Party,Wish Studios,Sony Interactive Entertainment
Thea: The Awakening,Turn-based strategy,MuHa Games,MuHa Games
TheHunter: Call of the Wild,Simulation,Expansive Worlds,Expansive Worlds
TheHunter: Call of the Wild - 2021 Edition,Simulation,Expansive Worlds,Expansive Worlds
There Came an Echo,Real-time strategy,Iridium Studios,Iridium Studios
They Are Billions,Real-time strategycity-building,Numantian Games,BlitWorks
Thief,Stealth,Eidos Montréal,Square Enix
Thief Town,Party,Glass Knuckle Games,Glass Knuckle Games
Thimbleweed Park,Point-and-click adventure,Terrible Toybox,Terrible Toybox
This Is Pool,Sports,VooFoo Studios,VooFoo Studios
This Is Snooker,Sports,VooFoo Studios,VooFoo Studios
This Is the Police,"Adventure, strategy",Weappy Studio,Nordic Games
This War of Mine: The Little Ones,Survival,11 Bit Studios,Deep Silver
Thomas Was Alone,Platformpuzzle,Curve Digital,Curve Digital
Through the Darkest of Times,Adventurestrategy,Paintbucket Games,HandyGames
Thumper,Musicrhythm,Drool,Drool
Ticket to Ride,Card & boardstrategy,Asmodee Digital,Asmodee Digital
Time Recoil,Twin-stick shooter,10tons,10tons
Timespinner,Metroidvaniaplatform,Lunar Ray Games,Chucklefish
Timothy vs. the Aliens,Actionplatform,Wild Sphere,Square Enix
Tina's Toy Factory,Puzzle,Strange Games Studios,Strange Games Studios
Tinertia,Platform,Candescent Games,Candescent Games
Tiny Brains,Puzzle,Spearhead Games,Spearhead Games
Tiny Metal,Turn-based tactics,Area 34,Unties
Tiny Tina's Wonderlands,Action role-playingfirst-person shooter,Gearbox Software,2K
Tiny Troopers: Joint Ops,Shooter,Kukouri Mobile Entertainment,Wired Productions
Titan Attacks!,Shooter,Puppy Games,Curve Digital
Titan Souls,Action-adventure,Acid Nerve,Devolver Digital
Titanfall 2,First-person shooter,Respawn Entertainment,Electronic Arts
To All of Mankind,Adventure,Acquire,Nippon Ichi Software
Toby: The Secret Mine,Action-adventure,Lukáš Navrátil,Headup Games
ToeJam & Earl: Back in the Groove,Adventure,HumaNature Studios,Adult Swim Games
TOHU,Adventure,Fireart Games,The Irregular Corporation
Toki,Platform,Microids,Microids
Toki Tori 2+,Platformpuzzle,Two Tribes,Two Tribes
Tokyo 42,Action,Smac Games,Mode 7
Tokyo Dark: Remembrance,Point-and-click adventure,Cherrymochi,JP: UntiesWW: Square Enix
Tokyo Ghoul: re Call to Exist,Action,Three Rings Design,Bandai Namco
Tokyo Xanadu eX+,Action role-playing,Nihon Falcom,Aksys Games
Tomb Raider: Definitive Edition,"Action-adventure, Action role-playing",Crystal Dynamics,Square Enix
Tom Clancy's Ghost Recon Breakpoint,First-person shooter,Ubisoft Paris,Ubisoft
Tom Clancy's Ghost Recon Wildlands,Third-person shooter,Ubisoft Paris,Ubisoft
Tom Clancy's Rainbow Six Extraction,First-person shooter,Ubisoft Montreal,Ubisoft
Tom Clancy's Rainbow Six: Siege,First-person shooter,Ubisoft Montreal,Ubisoft
Tom Clancy's The Division,Action role-playing,Massive Entertainment,Ubisoft
Tom Clancy's The Division 2,Action role-playing,Massive Entertainment,Ubisoft
Tony Hawk's Pro Skater 1+2,Extreme sports,Vicarious Visions,Activision
Tony Hawk's Pro Skater 5,Extreme sports,Robomodo,Activision
Tony Stewart's All-American Racing,Racing,Monster Games,Monster Games
Tony Stewart's Sprint Car Racing,Racing,Monster Games,Monster Games
Tools Up!,Action,Knights of Unity,All In! Games
Tooth and Tail,Real-time strategy,Pocketwatch Games,Pocketwatch Games
Torchlight II,Action role-playinghack and slash,Runic Games,Panic Button
Torchlight III,Action role-playinghack and slash,Echtra Games,Perfect World Entertainment
Toren,Adventurepuzzle,Swordtales,Versus Evil
Torment: Tides of Numenera,Role-playing,inXile Entertainment,Techland
TorqueL,Platformpuzzle,Full Power Side Attack,Playism
Totally Reliable Delivery Service,Action,We're Five Games,tinyBuild
Tottemo E Mahjong Plus,Board game,Arc System Works,Arc System Works
Touhou Kobuto V: Burst Battle,Fighting,Cube Type,NIS America
Touhou Labyrinth: Gensokyo to Tenkan no Taiju,Role-playing,CubetypeNise-Eikoku Shinshidan,Phoenixx
Touhou Sōjin Engi: The Genius of Sappheiros,Dōjin,Strawberry Bose,Mediascape
Touhou Sky Arena Matsuri,Dōjin,Area-Zero,Mediascape
Toukiden 2,Action role-playing,Koei Tecmo,Koei Tecmo
Toukiden: Kiwami,Action role-playing,Koei Tecmo,Koei Tecmo
Tour de France 2014,Sports,Cyanide Studio,Focus Home Interactive
Tour de France 2015,Sports,Cyanide Studio,Focus Home Interactive
Tour de France 2016,Sports,Koch Media,Focus Home Interactive
Tour de France 2017,Sports,Cyanide Studio,Focus Home Interactive
Tour de France 2018,Sports,Cyanide Studio,Focus Home Interactive
Tour de France 2019,Sports,Nacon,Bigben Interactive
Tour de France 2020,Sports,Cyanide Studio,Nacon
Touring Karts,Racingvehicular combat,Ivanovich Games,Ivanovich Games
The Touryst,Action-adventure,Shin'en Multimedia,Shin'en Multimedia
Tower 57,Shooter,Pixwerk,11 Bit Studios
TowerFall Ascension,"Arena combat, platform",Matt Thorson,Matt Makes Games
Tower of Guns,First-person shooter,Terrible Posture Games,Terrible Posture Games
Tower of Time,Actionstrategy,Event Horizon,Digerati
The Town of Light,"Adventure, horror",LKA,Wired Productions
Toy Soldiers 2: Finest Hour,Actionstrategytower defense,Signal Studios,Signal Studios
Toy Soldiers: Cold War HD,Actionstrategytower defense,Signal Studios,Signal Studios
Toy Soldiers HD,Actionstrategytower defense,Signal Studios,Accelerate Games
Toy Soldiers: War Chest,Actionstrategytower defense,Signal Studios,Ubisoft
TrackMania Turbo,Racing,Nadeo,Ubisoft
Trailmakers,Physics basedvehicular sandbox,Flashbulb Games,JP: ExnoaWW: Flashbulb Games
Train Sim World,Simulation,Dovetail Games,Dovetail Games
Train Sim World 2,Simulation,Dovetail Games,Dovetail Games
Train Sim World 2020,Simulation,Dovetail Games,Dovetail Games
Train Sim World: Long Island Rail Road,Simulation,Dovetail Games,Dovetail Games
Transcripted,Shooter,AlkemiSeaven Studio,Plug In Digital
Transference,Adventure,UbisoftSpectreVision,Ubisoft
Transformers: Battlegrounds,Tactical role-playing,Coatsink,Outright Games
Transformers: Devastation,Action,PlatinumGames,Activision
Transformers: Fall of Cybertron,Third-person shooter,High Moon Studios,Activision
Transformers: Rise of the Dark Spark,Third-person shooter,Edge of Reality,Activision
Transistor,Action role-playing,Supergiant Games,Supergiant Games
Transport Giant,Simulation,Reactor Games,UIG Entertainment
